資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20211217,000815,1,0,0,0.00
20211217,000815,2,0,0,0.00
20211217,000815,3,0,0,0.00
20211217,000815,4,0,0,0.00
20211217,000815,5,0,0,0.00
20211217,000815,6,0,0,0.00
20211217,000815,7,0,0,0.00
20211217,000815,8,0,0,0.00
20211217,000815,9,0,0,0.00
20211217,000815,10,0,0,0.00
20211217,000815,11,0,0,0.00
20211217,000815,12,0,0,0.00
20211217,000815,13,0,0,0.00
20211217,000815,14,0,0,0.00
20211217,000815,15,1,692412444,100.00
20211217,000815,16,0,0,0.00
20211217,000815,17,1,692412444,100.00
20211217,0050,1,222192,51959362,4.12
20211217,0050,2,111293,209920071,16.66
20211217,0050,3,10621,79420762,6.30
20211217,0050,4,2911,36627117,2.90
20211217,0050,5,1460,26317172,2.08
20211217,0050,6,1270,31782290,2.52
20211217,0050,7,501,17679392,1.40
20211217,0050,8,259,11949234,0.94
20211217,0050,9,482,33904222,2.69
20211217,0050,10,162,22365538,1.77
20211217,0050,11,73,20082791,1.59
20211217,0050,12,27,13958265,1.10
20211217,0050,13,10,6829616,0.54
20211217,0050,14,13,11851854,0.94
20211217,0050,15,58,685352314,54.39
20211217,0050,16,0,0,0.00
20211217,0050,17,351332,1260000000,100.00
20211217,0051,1,1754,348785,2.79
20211217,0051,2,2486,4479956,35.83
20211217,0051,3,183,1436115,11.48
20211217,0051,4,44,550667,4.40
20211217,0051,5,44,815385,6.52
20211217,0051,6,15,389580,3.11
20211217,0051,7,10,334951,2.67
20211217,0051,8,6,283000,2.26
20211217,0051,9,9,604000,4.83
20211217,0051,10,5,577000,4.61
20211217,0051,11,2,422561,3.38
20211217,0051,12,2,859000,6.87
20211217,0051,13,2,1399000,11.19
20211217,0051,14,0,0,0.00
20211217,0051,15,0,0,0.00
20211217,0051,16,0,0,0.00
20211217,0051,17,4562,12500000,100.00
20211217,0052,1,9116,2161805,3.86
20211217,0052,2,4654,8540446,15.25
20211217,0052,3,339,2602613,4.64
20211217,0052,4,78,979454,1.74
20211217,0052,5,41,743941,1.32
20211217,0052,6,23,552824,0.98
20211217,0052,7,9,328000,0.58
20211217,0052,8,4,181763,0.32
20211217,0052,9,14,952000,1.70
20211217,0052,10,4,498823,0.89
20211217,0052,11,4,1110082,1.98
20211217,0052,12,6,2832249,5.05
20211217,0052,13,1,660000,1.17
20211217,0052,14,3,2646000,4.72
20211217,0052,15,7,31210000,55.73
20211217,0052,16,0,0,0.00
20211217,0052,17,14303,56000000,100.00
20211217,0053,1,382,65709,1.31
20211217,0053,2,723,1366365,27.39
20211217,0053,3,78,670000,13.43
20211217,0053,4,16,207000,4.14
20211217,0053,5,15,289000,5.79
20211217,0053,6,3,82000,1.64
20211217,0053,7,2,72000,1.44
20211217,0053,8,3,150000,3.00
20211217,0053,9,5,304926,6.11
20211217,0053,10,2,256000,5.13
20211217,0053,11,1,296000,5.93
20211217,0053,12,0,0,0.00
20211217,0053,13,0,0,0.00
20211217,0053,14,0,0,0.00
20211217,0053,15,1,1229000,24.63
20211217,0053,16,0,0,0.00
20211217,0053,17,1231,4988000,100.00
20211217,0054,1,274,52796,0.79
20211217,0054,2,682,1366416,20.62
20211217,0054,3,94,798788,12.05
20211217,0054,4,35,479000,7.23
20211217,0054,5,21,410000,6.18
20211217,0054,6,6,143000,2.15
20211217,0054,7,9,334000,5.04
20211217,0054,8,5,235000,3.54
20211217,0054,9,3,246000,3.71
20211217,0054,10,2,264000,3.98
20211217,0054,11,2,621000,9.37
20211217,0054,12,0,0,0.00
20211217,0054,13,0,0,0.00
20211217,0054,14,0,0,0.00
20211217,0054,15,1,1674000,25.27
20211217,0054,16,0,0,0.00
20211217,0054,17,1134,6624000,100.00
20211217,0055,1,1878,481128,0.84
20211217,0055,2,6518,13177631,23.05
20211217,0055,3,955,7919623,13.85
20211217,0055,4,263,3463762,6.06
20211217,0055,5,204,3859204,6.75
20211217,0055,6,144,3821130,6.68
20211217,0055,7,56,2054812,3.59
20211217,0055,8,36,1736290,3.03
20211217,0055,9,48,3506409,6.13
20211217,0055,10,18,2591000,4.53
20211217,0055,11,10,2718000,4.75
20211217,0055,12,3,1594486,2.78
20211217,0055,13,1,660525,1.15
20211217,0055,14,0,0,0.00
20211217,0055,15,4,9570000,16.74
20211217,0055,16,0,0,0.00
20211217,0055,17,10138,57154000,100.00
20211217,0056,1,115665,38987253,1.14
20211217,0056,2,329921,711251717,20.92
20211217,0056,3,59752,467441707,13.75
20211217,0056,4,19557,249038973,7.32
20211217,0056,5,11405,209475382,6.16
20211217,0056,6,9766,249290937,7.33
